01:15:16,351 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 312 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/101>
01:15:16,352 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 315 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/102>
01:15:16,353 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 318 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/103>
01:15:16,354 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 321 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/104>
01:15:16,355 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 324 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/105>
01:15:16,355 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 327 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/106>
01:15:16,356 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 330 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/107>
01:15:16,357 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 333 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/108>
01:15:16,357 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 336 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/109>
01:15:16,358 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 339 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/110>
01:15:16,359 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 342 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/111>
01:15:16,359 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 345 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/112>
01:15:16,360 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 348 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/113>
01:15:16,361 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 351 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/114>
01:15:16,361 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 354 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/115>
01:15:16,362 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 357 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/116>
01:15:16,362 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 360 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/117>
01:15:16,363 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 363 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/118>
01:15:16,364 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 366 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/119>
01:15:16,364 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 369 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/120>
01:15:16,365 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 372 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/121>
01:15:16,366 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 375 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/122>
01:15:16,366 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 378 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/123>
01:15:16,367 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 381 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/124>
01:15:16,368 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 384 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/125>
01:15:16,369 WARN  [RDFDefaultErrorHandler] file:///H:/BE/BE%20SEM-2/Project/Code/NFRProject/Project_NFR/(line 387 column 34): {W130} Base URI is "", relative URIs left as relative.: <r/126>
